역명,일자, 이용인원 , 승차인원 , 하차인원 
계양,2023-06-01,8360,4264,4096
귤현,2023-06-01,2793,1084,1709
박촌,2023-06-01,7998,4206,3792
임학,2023-06-01,16947,8552,8395
계산,2023-06-01,23140,11764,11376
경인교대입구,2023-06-01,12189,6120,6069
작전,2023-06-01,29115,14818,14297
갈산,2023-06-01,19852,10004,9848
부평구청,2023-06-01,14430,7133,7297
부평시장,2023-06-01,27782,13873,13909
부평,2023-06-01,12814,6442,6372
동수,2023-06-01,8518,4370,4148
부평삼거리,2023-06-01,5589,2836,2753
간석오거리,2023-06-01,23044,11970,11074
인천시청,2023-06-01,11620,5895,5725
예술회관,2023-06-01,23912,11735,12177
인천터미널,2023-06-01,27122,13566,13556
문학경기장,2023-06-01,8310,4092,4218
선학,2023-06-01,12913,6463,6450
신연수,2023-06-01,12107,6145,5962
원인재,2023-06-01,6322,3358,2964
동춘,2023-06-01,21601,10486,11115
동막,2023-06-01,11229,5971,5258
캠퍼스타운,2023-06-01,13959,7296,6663
테크노파크,2023-06-01,22082,10970,11112
지식정보단지,2023-06-01,11039,5368,5671
인천대입구,2023-06-01,18744,9393,9351
센트럴파크(재외동포청),2023-06-01,7938,3942,3996
국제업무지구,2023-06-01,3447,1777,1670
송도달빛축제공원,2023-06-01,12209,6045,6164
계양,2023-06-02,8353,4250,4103
귤현,2023-06-02,2742,1106,1636
박촌,2023-06-02,8486,4492,3994
임학,2023-06-02,17072,8520,8552
계산,2023-06-02,23409,12004,11405
경인교대입구,2023-06-02,12191,6181,6010
작전,2023-06-02,29907,15202,14705
갈산,2023-06-02,19851,10061,9790
부평구청,2023-06-02,14509,7123,7386
부평시장,2023-06-02,28040,14146,13894
부평,2023-06-02,13658,6610,7048
동수,2023-06-02,8637,4455,4182
부평삼거리,2023-06-02,5737,2900,2837
간석오거리,2023-06-02,23171,12101,11070
인천시청,2023-06-02,11689,5892,5797
예술회관,2023-06-02,25213,12078,13135
인천터미널,2023-06-02,31748,15521,16227
문학경기장,2023-06-02,9577,4570,5007
선학,2023-06-02,13403,6705,6698
신연수,2023-06-02,11878,6142,5736
원인재,2023-06-02,6325,3431,2894
동춘,2023-06-02,22065,10747,11318
동막,2023-06-02,12253,6492,5761
캠퍼스타운,2023-06-02,13973,7279,6694
테크노파크,2023-06-02,23315,11755,11560
지식정보단지,2023-06-02,10817,5356,5461
인천대입구,2023-06-02,18119,9203,8916
센트럴파크(재외동포청),2023-06-02,8720,4293,4427
국제업무지구,2023-06-02,3559,1787,1772
송도달빛축제공원,2023-06-02,12926,6462,6464
계양,2023-06-03,6580,3143,3437
귤현,2023-06-03,1638,766,872
박촌,2023-06-03,5728,3009,2719
임학,2023-06-03,12576,6495,6081
계산,2023-06-03,19496,9853,9643
경인교대입구,2023-06-03,9861,4955,4906
작전,2023-06-03,22145,11404,10741
갈산,2023-06-03,10031,5216,4815
부평구청,2023-06-03,10809,5250,5559
부평시장,2023-06-03,19852,10014,9838
부평,2023-06-03,12948,6442,6506
동수,2023-06-03,5857,3055,2802
부평삼거리,2023-06-03,4234,2093,2141
간석오거리,2023-06-03,17669,9301,8368
인천시청,2023-06-03,8106,4226,3880
예술회관,2023-06-03,19417,8966,10451
인천터미널,2023-06-03,29860,14353,15507
문학경기장,2023-06-03,13524,6567,6957
선학,2023-06-03,10595,5345,5250
신연수,2023-06-03,6611,3444,3167
원인재,2023-06-03,4284,2303,1981
동춘,2023-06-03,16464,8100,8364
동막,2023-06-03,7005,3718,3287
캠퍼스타운,2023-06-03,9401,4889,4512
테크노파크,2023-06-03,20131,9941,10190
지식정보단지,2023-06-03,4609,2329,2280
인천대입구,2023-06-03,11277,5606,5671
센트럴파크(재외동포청),2023-06-03,8483,4149,4334
국제업무지구,2023-06-03,1833,1001,832
송도달빛축제공원,2023-06-03,13662,6812,6850
계양,2023-06-04,5070,2368,2702
귤현,2023-06-04,1278,595,683
박촌,2023-06-04,4432,2284,2148
임학,2023-06-04,9157,4628,4529
계산,2023-06-04,14473,7108,7365
경인교대입구,2023-06-04,7654,3811,3843
작전,2023-06-04,14843,7612,7231
